cmavo,English definition,English notes,English gloss,My definition,My notes,My gloss
a,logical connective: sumti afterthought or.,,,,,
a'a,attitudinal: attentive - inattentive - avoiding.,"See also {jundi}, {rivbi}.",,,,
a'e,attitudinal: alertness - exhaustion.,"See also {sanji}, {cikna}, {tatpi}.",,,,
a'i,attitudinal: effort - no special effort - repose.,"See also {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.",,,,
a'o,attitudinal: hope - despair.,See also {pacna}.,,,,
a'u,attitudinal: interest - disinterest - repulsion.,"See also {cinri}, {selcni}.",,,,
ai,attitudinal: intent - indecision - rejection/refusal.,"See also {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.",,,,
au,attitudinal: desire - indifference - reluctance.,See also {djica}.,,,,
ba,time tense relation/direction: will [selbri]; after [sumti]; default future tense.,,,,,
ba'a,evidential: I expect - I experience - I remember.,"See also {bavykri}, {lifri}, {morji}.",,,,
ba'au,tense: refers to future of current space/time reference absolutely,in the future of {nau},,,,
ba'e,forethought emphasis indicator; indicates next word is especially emphasized.,,,,,
ba'ei,"forethought emphasis indicator; indicates next WORD only, even if that word is a construct-indicating cmavo","According to CLL 19.11, regular {ba'e} doesnt always emphasize just one word. If it is placed in front of a construct (e.g. {la}), it emphasizes the entire construct. {ba'ei} was designed especially for these cases.",,,,
ba'i,"basti modal, 1st place                            replaced by ...",,,,,
ba'o,interval event contour: in the aftermath of ...; since ...; retrospective/perfect              |     |----.,,,,,
ba'oi,Converts PA into tense; in [number (usually nonspecific)] possible futures where [sumti (du'u)] is true,"Possible futures, given the actual past and present; what might happen. Cf. {mu'ei}.",,,,
ba'u,discursive: exaggeration - accuracy - understatement.,"See also {satci}, {dukse}.",,,,
bai,"bapli modal, 1st place (forced by)                forcedly; compelled by force ...",,,,,
bau,"bangu modal, 1st place                            in language ...",,,,,
be,sumti link to attach sumti (default x2) to a selbri; used in descriptions.,,,,,
be'a,location tense relation/direction; north of.,,,,,
be'e,vocative: request to send/speak.,,,,,
be'i,"benji modal, 1st place (sender)                   sent by ...",,,,,
be'o,elidable terminator: end linked sumti in specified description.,,,,,
be'u,attitudinal modifier: lack/need - presence/satisfaction - satiation.,"See also {claxu}, {nitcu}, {mansa}.",,,,
bei,separates multiple linked sumti within a selbri; used in descriptions.,,,,,
bi,digit/number: 8 (digit) [eight].,,,,,
bi'e,prefixed to a mex operator to indicate high priority.,,,,,
bi'i,non-logical interval connective: unordered between ... and ...,,,,,
bi'o,non-logical interval connective: ordered from ... to ...,,,,,
bi'u,discursive: newly introduced information - previously introduced information.,"See also {nindatni}, {saurdatni}.",,,,
bo,short scope joiner; joins various constructs with shortest scope and right grouping.,"Cf. {ke}, {ke'e}.",,,,
boi,elidable terminator: terminate numeral or letteral string.,,,,,
bu,convert any single word to BY.,,,,,
bu'a,logically quantified predicate variable: some selbri 1.,,,,,
bu'e,logically quantified predicate variable: some selbri 2.,,,,,
bu'i,logically quantified predicate variable: some selbri 3.,,,,,
bu'o,attitudinal contour: start emotion - continue emotion - end emotion.,,,,,
bu'oi,Interjection: Boo!,A way to shock people analogous to yelling BOO! at someone.,,,,
bu'u,location tense relation/direction; coincident with/at the same place as; space equivalent of ca.,,,,,
by,letteral for b.,,,,,
ca,time tense relation/direction: is [selbri]; during/simultaneous with [sumti]; present tense.,,,,,
ca'a,modal aspect: actuality/ongoing event.,,,,,
ca'e,evidential: I define.,"See also {mitcu'a}, {mitsmu}.",,,,
ca'i,"catni modal, 1st place                            by authority of ...",,,,,
ca'o,interval event contour: during ...; continuative                                    |-----|.,,,,,
ca'u,location tense relation/direction; forwards/to the front of ...,,,,,
cai,attitudinal: strong intensity attitude modifier.,,,,,
cau,"claxu modal, 1st place                            lacked by ...",,,,,
ce,"non-logical connective: set link, unordered; and also, but forming a set.",,,,,
ce'a,"2-word letteral/shift: the word following indicates a new font (e.g. italics, manuscript).",,,,,
ce'ai,lambda variable prenex; marks the end of introduction of lambda-scope variables.,"Cf. {zo'u}. In effect this word is used as a shortcut around verbose repeated assignment in a {ka} prenex: lo ka ce'u goi ko'a ce'u goi ko'e ... zo'u ... is the same as lo ka ko'a ko'e ... ce'ai ... In either form this style can be used to avoid subscripting and to disambiguate nested {ka}, {ni}, etc.",,,,
ce'e,links terms into an afterthought termset.,,,,,
ce'i,"digit/number: % percentage symbol, hundredths.",,,,,
ce'o,"non-logical connective: ordered sequence link; and then, forming a sequence.",,,,,
ce'oi,argument list separator: acts as a comma between arguments in an argument list supplied to a function.,"ce'oi is the word of choice to separate the arguments in bridi3. Using {ce'o} there has obvious limitations when the selbri actually calls for a sequence. Obviously, ce'oi has issues too if the selbri can accept an argument list, but this can be circumvented more readily with {ke}...{ke'e} brackets than it can with {ce'o}. Consider .i lo ka broda cu selbri fi ko'a ce'o ko'e. Without inspecting the type requirements of {broda} and the respective types of {ko'a} and {ko'e}, one cannot determine the meaning of the {bridi}. Furthermore, if one accepts non-static typing of {sumti} places, multiple correct answers can be given for a question asking what is the bridi1. This would create ambiguity that is otherwise resolved by ce'oi. See also {ka}, {du'u}, {me'au}.",,,,
ce'u,pseudo-quantifier binding a variable within an abstraction that represents an open place.,,,,,
cei,selbri variable assignment; assigns broda series pro-bridi to a selbri.,,,,,
ci,digit/number: 3 (digit) [three].,,,,,
ci'e,"ciste modal, 1st place used in scalar negation    in system/context ...",,,,,
ci'i,digit/number: infinity; followed by digits => aleph cardinality.,,,,,
ci'o,"cinmo modal, 1st place                            emotionally felt by ...",,,,,
ci'oi,Converts following cmevla or zoi-quote into psychomime. ,"Narrower term than {tai'i}. See also {ci'o}, {cinmo}, {sa'ei}, {ki'ai}. Examples in some languages. jpn: そわそわ (sowasowa): restlessly. nep: सुखदुख (sukhadukha): lit. happiness-sorrow; the human condition. eng: zing",,,,
ci'u,"ckilu modal, 1st place                            on the scale ...",,,,,
co,tanru inversion operator; ... of type ...; allows modifier trailing sumti without sumti links.,,,,,
co'a,interval event contour: at the starting point of ...; initiative                   >|<    |.,,,,,
co'e,elliptical/unspecified bridi relationship.,,,,,
co'i,interval event contour: at the instantaneous point of ...; achievative/perfective; point event   >|<.,,,,,
co'o,vocative: partings/good-bye.,,,,,
co'oi,"Combination of {coi} and {co'o}, indicating either greetings or partings according to context.","The scalar negated forms of this COI are apparently identical to its positive form. cf. {coi}, {co'o}, {rinsa}, {tolrinsa}.",,,,
co'u,interval event contour: at the ending point of ... even if not done; cessative      |  >< |.,,,,,
coi,vocative: greetings/hello.,,,,,
cu,"elidable marker: separates selbri from preceding sumti, allows preceding terminator elision.",,,,,
cu'a,unary mathematical operator: absolute value/norm  |a|.,,,,,
cu'e,tense/modal question.,,,,,
cu'ei,discursive: indicate a change in speaker; used generally in quotations.,Considered to have {sa'a} attached to it by default. Using {sa'anai} would cancel that effect. Used to quote dialogues.,,,,
cu'i,attitudinal: neutral scalar attitude modifier.,,,,,
cu'o,convert number to probability selbri; event x1 has probability (n) of occurring under cond. x2.,,,,,
cu'u,"cusku modal, 1st place (attribution/quotation)    as said by source ...; used for quotation.",,,,,
cy,letteral for c.,,,,,
da,logically quantified existential pro-sumti: there exists something 1 (usually restricted).,,,,,
da'a,digit/number: all except n; all but n; default 1.,,,,,
da'ai,"other than me; person, not an object",Can include {do}. {ma'a} can be defined as {mi} {jo'u} {do} jo'u {da'ai},,,,
da'e,pro-sumti: remote future utterance; He'll tell you tomorrow. IT will be a doozy..,,,,,
da'i,discursive: supposing - in fact.,See also {sruma}.,,,,
da'o,discursive: cancel pro-sumti/pro-bridi assignments.,,,,,
